id,first_name,last_name,email,gender,ip_address,example_decimal
1,Dee,Hansemann,dhansemann0@tinypic.com,Female,12.200.255.185,1.46
2,Alisun,Falco,afalco1@homestead.com,Female,50.205.236.111,1.64
3,Chuck,Bradane,cbradane2@adobe.com,Male,224.217.27.166,-1.18
4,Carla,Baxstar,cbaxstar3@hhs.gov,Female,83.48.241.8,-0.23
5,Drucie,Dowdell,ddowdell4@senate.gov,Female,149.46.169.129,-2.44
6,Wilden,Ciccarelli,wciccarelli5@ustream.tv,Male,112.17.130.129,-0.01
7,Nicola,Shorland,nshorland6@google.es,Male,91.151.150.213,-2.38
8,Edan,Hrynczyk,ehrynczyk7@4shared.com,Male,126.96.149.133,0.16
9,Lorant,Kalberer,lkalberer8@ucoz.com,Male,218.48.32.190,-2.38
10,Sunny,Straker,sstraker9@hugedomains.com,Male,128.10.55.27,0.48
11,Ephrayim,Rumens,erumensa@cam.ac.uk,Male,82.117.38.232,-0.22
12,Constantin,Edwardes,cedwardesb@engadget.com,Male,2.13.190.254,0.43
13,Alexandro,Kimblen,akimblenc@telegraph.co.uk,Male,177.179.198.29,-1.44
14,Damien,Gunbie,dgunbied@washington.edu,Male,46.106.97.254,2.28
15,Perceval,Jagg,pjagge@prweb.com,Male,114.14.155.152,0.72
16,Benita,Kennet,bkennetf@comcast.net,Female,87.173.248.75,-0.89
17,Conrad,Keyzor,ckeyzorg@seattletimes.com,Male,21.170.32.8,0.72
18,Ebenezer,Brellin,ebrellinh@hostgator.com,Male,126.130.247.118,-0.38
19,Ramsay,Elwill,relwilli@com.com,Male,40.221.141.120,-0.32
20,Carma,Burleton,cburletonj@pinterest.com,Female,20.156.88.133,-0.44
21,Aile,Eastham,aeasthamk@bbc.co.uk,Female,206.122.5.28,0.24
22,Katie,Tatford,ktatfordl@businesswire.com,Female,199.172.14.143,1.03
23,Celestia,Dofty,cdoftym@businessinsider.com,Female,139.26.12.140,-1.79
24,Morris,McLenaghan,mmclenaghann@smugmug.com,Male,29.252.163.206,0.45
25,Eldredge,Beacom,ebeacomo@wisc.edu,Male,49.214.1.251,-1.16
26,Jeddy,Maxsted,jmaxstedp@bloglovin.com,Male,163.28.99.145,0.96
27,Westbrooke,Stacey,wstaceyq@edublogs.org,Male,106.87.108.103,-0.18
28,Kelwin,Rallin,krallinr@sogou.com,Male,190.25.99.159,-1.93
29,Marcelo,Gerler,mgerlers@fastcompany.com,Male,223.238.63.255,-0.67
30,Sherm,Delgardillo,sdelgardillot@fastcompany.com,Male,27.168.76.39,0.13
31,Olenolin,O'Kelly,ookellyu@intel.com,Male,116.23.215.20,0.26
32,Michele,Rattenbury,mrattenburyv@economist.com,Female,253.30.32.189,0.87
33,Celine,Burstow,cburstoww@msn.com,Female,41.72.37.81,-0.52
34,Chryste,Wratten,cwrattenx@un.org,Female,60.41.79.29,-0.88
35,Karl,Dyball,kdybally@123-reg.co.uk,Male,176.10.160.70,-0.14
36,Cointon,Fewings,cfewingsz@tiny.cc,Male,248.21.253.28,0.22
37,Lorrie,Larvor,llarvor10@smugmug.com,Male,228.50.70.62,-1.2
38,Lorelle,Cookes,lcookes11@theguardian.com,Female,91.48.209.186,-0.05
39,Zeke,O'Curneen,zocurneen12@walmart.com,Male,235.229.40.97,0.37
40,Lief,Chesshire,lchesshire13@bigcartel.com,Male,234.23.194.181,0.66
41,Westbrooke,Drummer,wdrummer14@forbes.com,Male,0.113.137.180,-0.86
42,Madel,Browncey,mbrowncey15@naver.com,Female,219.144.126.101,0.56
43,Forest,Biaggi,fbiaggi16@sitemeter.com,Male,185.234.52.127,0.54
44,Odelle,Curman,ocurman17@jimdo.com,Female,198.66.182.186,-0.77
45,Yule,Lamshead,ylamshead18@hp.com,Male,187.250.79.139,0.32
46,Wilona,Bolesma,wbolesma19@utexas.edu,Female,232.109.50.155,0.87
47,Edlin,Spata,espata1a@privacy.gov.au,Male,12.31.236.98,-1.45
48,Nikolos,Ivanitsa,nivanitsa1b@mysql.com,Male,3.81.116.128,-1.45
49,Norbert,Boydell,nboydell1c@hud.gov,Male,156.106.227.152,-0.17
50,Zedekiah,Cinnamond,zcinnamond1d@hostgator.com,Male,18.183.14.77,-2.34
51,Gib,Birdwhistell,gbirdwhistell1e@behance.net,Male,54.28.16.4,2.19
52,Kristofer,Hedditch,khedditch1f@amazon.co.uk,Male,8.70.112.165,0.76
53,Kelcey,Cullabine,kcullabine1g@businessinsider.com,Female,212.25.85.216,0.41
54,Monika,Caukill,mcaukill1h@over-blog.com,Female,239.203.80.137,0.34
55,Darelle,Domleo,ddomleo1i@cpanel.net,Female,66.104.245.29,-0.05
56,Thorin,Ninnis,tninnis1j@upenn.edu,Male,47.65.63.79,-0.03
57,Erinn,Seide,eseide1k@unicef.org,Female,123.230.241.231,-0.79
58,Melodee,Albro,malbro1l@sogou.com,Female,91.103.179.153,1.36
59,Ava,Fairfull,afairfull1m@is.gd,Female,52.48.17.129,1.37
60,Pauly,Sainter,psainter1n@bluehost.com,Female,18.246.11.46,-0.04
61,Rogerio,Storey,rstorey1o@adobe.com,Male,11.249.43.172,-2.09
62,Kilian,Passey,kpassey1p@comsenz.com,Male,212.243.26.91,2.36
63,Eadith,Levay,elevay1q@goo.ne.jp,Female,231.229.133.59,0.09
64,Wayne,Shirley,wshirley1r@qq.com,Male,202.52.60.209,-0.03
65,Regan,Duffus,rduffus1s@msu.edu,Male,115.97.254.49,-0.66
66,Shaughn,Lang,slang1t@guardian.co.uk,Male,137.130.1.19,-0.76
67,Rey,McAlarney,rmcalarney1u@pcworld.com,Female,14.6.167.26,1.37
68,Emmalynne,Shevels,eshevels1v@cafepress.com,Female,107.233.17.167,0.6
69,Philip,D'eye,pdeye1w@sphinn.com,Male,192.60.82.155,-0.21
70,Keane,Shorto,kshorto1x@arizona.edu,Male,205.184.226.186,-0.6
71,Robinet,Capron,rcapron1y@army.mil,Male,147.123.89.111,0.41
72,Armstrong,Cereceres,acereceres1z@g.co,Male,41.183.113.216,-1.43
73,Andra,Keyho,akeyho20@shutterfly.com,Female,80.59.226.110,-1.74
74,Audry,Turbefield,aturbefield21@phpbb.com,Female,53.196.243.71,-0.11
